iter	Logloss
0	0.5504198052
1	0.46866774
2	0.4251885451
3	0.3923384819
4	0.3706391285
5	0.354272334
6	0.3370864437
7	0.3214869296
8	0.3095079173
9	0.3027912108
10	0.292911996
11	0.2856948434
12	0.2753955982
13	0.2669275463
14	0.2551859898
15	0.2507852282
16	0.2401920899
17	0.2322536694
18	0.2236189118
19	0.2177110926
20	0.2137024158
21	0.2100460473
22	0.2047484021
23	0.2035765301
24	0.1988780195
25	0.1951914528
26	0.1945221818
27	0.1909123809
28	0.1863311831
29	0.183087765
30	0.1783134583
31	0.1744823067
32	0.1729413112
33	0.1676134801
34	0.1608812552
35	0.1590753138
36	0.1544986673
37	0.1509338832
38	0.149675691
39	0.1482612181
40	0.1426020722
41	0.1397221806
42	0.1358078479
43	0.1334747707
44	0.1292696403
45	0.1243231405
46	0.1234052084
47	0.122421234
48	0.1211344694
49	0.1195914588
50	0.1182322578
51	0.1154222705
52	0.114175352
53	0.1129084789
54	0.1091667793
55	0.1086413337
56	0.1064639631
57	0.105149185
58	0.1049842765
59	0.1029267838
60	0.1001998706
61	0.09907075009
62	0.09695951054
63	0.09365577448
64	0.09339362443
65	0.09075980979
66	0.09035840996
67	0.08797856517
68	0.0868807726
69	0.08552571788
70	0.08282293862
71	0.08059243215
72	0.07973251401
73	0.07782371656
74	0.07524448134
75	0.07406626791
76	0.07357276966
77	0.07135471275
78	0.06969599011
79	0.06937620633
80	0.0681133761
81	0.06729437186
82	0.06703046068
83	0.06611712801
84	0.06515038906
85	0.06384420009
86	0.06358953943
87	0.06305021744
88	0.06290509001
89	0.06267634515
90	0.06065784933
91	0.0598567611
92	0.05915490867
93	0.05884986249
94	0.05731831323
95	0.05687548017
96	0.05639711701
97	0.056090425
98	0.05578653938
99	0.05546036685
100	0.05537767112
101	0.05463298434
102	0.05394329407
103	0.05374306407
104	0.05215366682
105	0.05166899519
106	0.05033441462
107	0.04979307467
108	0.0486487862
109	0.0472929823
110	0.04654160902
111	0.04638187789
112	0.04626580679
113	0.04603290191
114	0.04566598426
115	0.04490373989
116	0.04486752264
117	0.04448744482
118	0.04408891382
119	0.04358938881
120	0.04279911825
121	0.04191144021
122	0.04129642146
123	0.04122597109
124	0.04073372608
125	0.04021998792
126	0.03969011915
127	0.03908722346
128	0.03864283206
129	0.037992487
130	0.03791310654
131	0.03727586345
132	0.03679902123
133	0.03612846212
134	0.03586525348
135	0.03539818559
136	0.03523721917
137	0.03486104935
138	0.03479649718
139	0.03459263038
140	0.03447733326
141	0.0342305312
142	0.03407871701
143	0.03360294988
144	0.03355116618
145	0.03350086463
146	0.03323749429
147	0.03317566081
148	0.03281596252
149	0.03236072301
150	0.03204039451
151	0.03149621581
152	0.03100116468
153	0.03044247005
154	0.03005774805
155	0.029576664
156	0.02919261193
157	0.0289500514
158	0.0289427154
159	0.02890302534
160	0.02865889027
161	0.02829296598
162	0.02800724373
163	0.02798453204
164	0.0277863901
165	0.02765950762
166	0.02739745777
167	0.02736263936
168	0.02702792659
169	0.02686042607
170	0.02651944269
171	0.0261703404
172	0.02584909152
173	0.02554121861
174	0.02528196125
175	0.02487157191
176	0.02460487111
177	0.02437970351
178	0.02420523182
179	0.0242001499
180	0.02404103125
181	0.02400429022
182	0.02374906981
183	0.02348774284
184	0.02324590772
185	0.02320590518
186	0.02312843563
187	0.02290979746
188	0.02270137892
189	0.02249554489
190	0.02219769466
191	0.02191213075
192	0.02179986512
193	0.02172007151
194	0.02162074259
195	0.02157665038
196	0.02151080006
197	0.02132734402
198	0.02114676673
199	0.02107608653
200	0.02095696499
201	0.02084228808
202	0.02078788128
203	0.02077377527
204	0.02077115679
205	0.02059146054
206	0.02053663867
207	0.02038930051
208	0.02038007153
209	0.02035135453
210	0.02017112021
211	0.02004057549
212	0.02004038703
213	0.01998673946
214	0.01997254081
215	0.01994645432
216	0.01985620997
217	0.01976745673
218	0.01974574978
219	0.01967370914
220	0.01952247617
221	0.01930496572
222	0.01917122978
223	0.01915427976
224	0.01900501824
225	0.01876825467
226	0.0186470528
227	0.01862901341
228	0.01853096082
229	0.01851152643
230	0.01836013756
231	0.01827620832
232	0.01824895318
233	0.01818857144
234	0.0181848488
235	0.01818134103
236	0.0181792452
237	0.0179227107
238	0.01775026938
239	0.01759577908
240	0.01746271576
241	0.01733733815
242	0.01722752705
243	0.01707831752
244	0.01705843516
245	0.01700113045
246	0.01690628846
247	0.01679721445
248	0.0166538922
249	0.01661013644
